,articleId,title,subtitle,productType
71,3238019250217191267,Apple iMac 27“ Quad-Core i7 1TB  8Mb Ram,Gepflegter iMac - grosses 27“ Display -wenig Betriebsstunden,pc
72,2206176197370293991,HP Compaq DC5800 mit Windows XP 32Bit,Betriebsbereit - 3.16GHz - 2GB RAM - 250GB HDD - Nvidia GPU,pc
73,-1971953865027922936,Asus W-LAN Adapter mit 2 Top Antennen,Komplett OVP -und mit Garantie bei digitec bis 2021,pc
74,-8786300560084693758,Workstation / Gamer PC mit Windows 10,"Betriebsbereit - Intel i5 4460, 16GB Ram, SSD + HDD, GTX670",pc
75,8310164832963367772,"HP 840 G3 i5 16GB, SSD 256 WIE  NEU",HAMMER ANGENBOT 16 GB RAM und SSD,pc
76,7643641657378180289,Intel Core i5-3470 Prozessor FCLGA1155,"6 MB Cache, bis zu 3,60 GHz",pc
77,-3865706619038273002,Computer/PC komplett + neuer Bildschirm,Computer/PC komplett + neuer Bildschirm + sämtliche Zubehör,pc
78,-247789064867102739,Gaming pc,I7 4790k Gtx 980 Ti hybrid 16gb Ram 240gb ssd Pcie,pc
79,4372640787557826727,20x Apple iMac 20 Zoll,"iMac Bundle, vor 2010, diverse Ausstattungen",pc
80,6127022607882929808,Fujitsu Stylic Laptop/Convertible,Intel i7 / 8Gb /256Gb,pc
81,-1266838475078318797,HP ProBook 440 G6,Fabrikneues Notebook von HP,pc
82,5529996481539972073,Gaming PC komplette Wasserkühlung,"i7-3960X, GTX Titan, 32GB RAM, SSD, 1600W PSU, Gaming-PC",pc
83,-4812381595907748427,"iMac27""Retina5K|4.0GHz i7/OVP","iMac27""Retina5K|4.0GHz i7/OVP",pc
84,-4991982985376256009,Armoire 42u APC avec porte,Armoire 42u APC avec porte,pc
85,-5623994308408078925,GamingPC Omen Set,"HP Omen, Samsung Monitor, Logitech Gaming Mouse u. Keyboard",pc
86,8440896688562525860,"Alter Gaming PC mit i7 3770, Windows 10","i7 3770, 660gtx, 16gb ram, windows 10, 100gb SSD, 500gb HDD",pc
87,-192111782222030941,Stand Toilette WC Sitz,Stand Toilette/WC Bodenstehend Keramik Schwarz,wc
88,3595206620333227636,EI-DESIGN WAND-HÄNGE TOILETTE/WC-SET WEI,vidaXL EI-DESIGN WAND-HÄNGE TOILETTE/WC-SET WEIß INKL.,wc
89,6063328303125164995,Design Stand-Toilette/WC Keramik inkl.,vidaXL Design Stand-Toilette/WC Keramik inkl. Soft Close WC,wc
90,5220925487527727894,WC-Trainer,Von Kiddyloo,wc
91,3290867843631517960,Wand-Hänge WC/Toilette Klo Wandhängend W,auf gehts .... jetzt zuschlagen.....,wc
92,-7040646910066430581,diaqua WC-Sitz Hollywood Slow-Motion,Kit 31 1679 32,wc
93,-6634468058692491179,diaqua WC-Sitz Hollywood Slow-Motion,powder 31 1679 36,wc
94,6865671996796711611,WC Cuvette céramique Ronde Blanc,vidaXL Keramik WC Toilette Rund Weiß,wc
95,7448099300962479845,Wand WC,Laufen Wand WC,wc
96,6084617216878274989,"Hochwertiger Duschschlauch, Länge 150 cm",Hochflexibler Duschschlauch in Edelstahl-Qualität,wc
97,-7736792456689868163,Toilettensitz WC-Sitz MDF Steine Design,Toilettensitz WC-Sitz MDF Steine Design,wc
98,5946009108378632883,Stand-Toilette/WC WC Sitz+Stand-Bidet Bo,vidaXL Stand-Toilette/WC WC Sitz+Stand-Bidet Bodenstehend,wc
99,1209063127873464594,WC Cuvette céramique Blanc,vidaXL Keramik WC Toilette Ecke Weiß,wc
100,245883297970781935,Wand-Hänge WC Toilette+Hänge Bidet+WC-Si,vidaXL Wand-Hänge WC Toilette+Hänge Bidet+WC-Sitz,wc
101,5430272422988749796,WC Cuvette céramique Ronde Blanc,vidaXL Keramik WC Toilette Rund Weiß,wc
102,4925881098400044401,Stand Toilette/WC Bodenstehend Keramik,vidaXL Stand Toilette/WC Bodenstehend Keramik Schwarz,wc
103,-4165644845960190487,Abfluss Stöpsel 2er Set,Universal Stöpsel | 30 Tage Rückgabe,wc
104,-4099112276412352563,LED Toilettendeckel 3D WC Sitz Klobrille,Toilettensitz Deckel Klodeckel rot,wc
105,-6222390235824470525,Toilettensitz WC-Sitz MDF Wassertropfen,Toilettensitz WC-Sitz MDF Wassertropfen Design,wc
106,-1631921386439206519,Wand-Hänge Toilette Keramik schwarz,Wand-Hänge Toilette Keramik schwarz,wc
107,7448099300962479845,Wand WC,Laufen Wand WC,wc
108,3453475313902831520,Katzentoilette  / Katzenklo / Katzenbaum,KatzenToilette neu / Katzen-WC / Kratzbaum / Katzenzubehör,wc
109,-2786556231403926443,Toilettensitz WC-Sitz MDF Blume und Bamb,Toilettensitz WC-Sitz MDF Blume und Bambus Design,wc
110,-8059302230825064363,Wand WC Duravit,sehr guter Zustand,wc
111,-1373117157028990737,Toilettensitz WC-Sitz MDF Porzellan Desi,Toilettensitz WC-Sitz MDF Porzellan Design,wc
112,-3901600856886735628,WC Cuvette céramique Blanc,vidaXL Keramik WC Toilette Ecke Weiß,wc
113,5514291648480932590,WC,WC,wc
114,-5613428117173432098,Edelstahl/Glas WC Garnitur Wandmontage,Wc | Bürste,wc
115,-8168660162145522783,Toilettensitz WC-Sitz MDF Wassertropfen,Toilettensitz WC-Sitz MDF Wassertropfen Design,wc
116,-1308283874866025946,Toilettensitz WC-Sitz MDF Holz Design,vidaXL Toilettensitz WC-Sitz MDF Holz Design,wc
117,-5248443311973369130,Toilettensitz WC-Sitz MDF New York Desig,Toilettensitz WC-Sitz MDF New York Design,wc
118,-7327284757968685384,Weißer WC Sitz mit Absenkautomatik,vidaXL Weißer WC Sitz mit Absenkautomatik,wc
119,-3083451349883466819,7 Stück WC-Papierhalter doppelt,7 Stück WC-Papierhalter doppelt,wc
120,7040816035968019933,Closomat,Closomat funktioniert,wc
121,-1016403146598783426,Toilettensitz WC-Sitz MDF New York Desig,vidaXL Toilettensitz WC-Sitz MDF New York Design,wc
122,8433196500317509677,Toilettensitz WC-Sitz MDF Steine Design,Toilettensitz WC-Sitz MDF Steine Design,wc
123,3633589601672027456,WC Cuvette céramique Blanc,vidaXL Keramik WC Toilette Ecke Weiß,wc
124,-7768227055027452377,Enders Chemietoilette Duluxe Mobile,Camping,wc
125,-8937626528504110558,WC zu verkaufen,Aufputz wand wc,wc
126,181136043125389097,Wand-Hänge WC/Toilette Klo Wandhängend W,vidaXL Wand-Hänge WC/Toilette Klo Wandhängend Weiß,wc
127,1630756644687183957,WC Rollenhalter Chrom (2),WC Toilette Badezimmer Chromstahhl Rollenhalter,wc
128,-214283677137177944,Set de cuvette et bidet céramique Blanc,vidaXL Keramik Toilette & Bidet Set weiß,wc
129,-6355246049772771133,Camping WC Thetford,Camping-WC Thetford Porta Potti  Qube 345,wc
130,-1547062586240436702,Dynamo-LED-Wasserhahnaufsatz,Dynamo-LED-Wasserhahnaufsatz mit Strahlregler,wc
131,-2084703336489463601,Stand-Toilette/WC Bodenstehend Design To,vidaXL Stand-Toilette/WC Bodenstehend Design Toilette,wc
132,-1830796355878245342,Toilettensitz WC-Sitz MDF Porzellan Desi,Toilettensitz WC-Sitz MDF Porzellan Design,wc
133,777759377209568916,NEU LEDER TASCHE,NEU LEDER TASCHE,bag
134,-2333338794658427200,ORIG. FREITAG-Tasche Modell F553 LOU,"ORIGINALE FREITAG Tasche Modell F553 LOU, in blau/rot/weiss",bag
135,2677219007732144436,Violette Echt Leder Tasche,Nie gebraucht,bag
136,-1173236203850260469,Gucci Weekender,Seltenes Modell,bag
137,-2745867915142518212,MCM Tasche Umhängetasche,Neuwertig,bag
138,-3465273663140029580,Umhängetasche Grösse 38x28x13cm,Neu  Textil abwaschbar,bag
139,3070709867585820324,Men Bag,Neu (nie gebraucht ),bag
140,8454603693143184990,Armani Shopper,Armani Jeans,bag
141,-7289637918157270965,Armani Jeans Handtasche,Sehr schöne original Armani Handtasche,bag
142,-4350555870717678366,Beuteltasche Schwarz,Neuwertig NP: 230.00 CHF,bag
143,2110583300324583160,Beach Bag von Sain Barth,"St. Barth Grafik, innen mit St. Barth Logo bedruckt",bag
144,3309000876883785090,Original Mollerus Handtasche Leder,❤Unikat❤,bag
145,2844415554088036464,Tasche,Tasche Gabor,bag
146,-3828172198398346592,schwarze IL BISONTE Leder Umhängetasche,* Crossbody Klappentasche in neuwertigem Zustand *,bag
147,-192224880900842171,Nike Sporttasche ab 1.-Fr,ALLES MUS RAUS !,bag
148,-6084275139001247536,Zara Ledertasche NEU,schwarz,bag
149,-3779192222949472315,"Gabor Handtasche, weiss",weisse Umhänge Handtasche von Gabor,bag
150,620233697643817890,Maison Mollerus Handtasche,Schultertasche,bag
151,-7179349674183560319,Sac rigide en raphia Zara,TEMA MES FAUTES DORTOGRAPHE STP,bag
152,3580860315871932465,Ledershopper,Shopper oder Weekendtasche,bag
153,590818946682669463,* Original Bottega Veneta Tasche neu! *,Bottega Veneta Tasche Veneta Medium Dark Rose neu!,bag
154,3023749916293221408,Gabs Handtasche Leder,Echtes Leder und Nylon,bag
155,3476481553774262499,Tasche von Reisenthel,Einkaufstasche von Reisenthel Loopshopper M,bag
156,3643795583745160809,Esprit Tasche,Schwarz,bag
157,-2152486956509523042,Step by step Schulrucksack,höhenverstellbar = perfekte Passform über mehrere Jahre,bag
158,-3122512168402698505,"George, Gina & Lucie Umhängetasche","Edel sportive Handtasche der Marke George, Gina & Lucie",bag
159,-3164081445857027918,Kosmetiktasche Flamingo,Top Artikel,bag
160,-7514058011540190556,Kleine Tasche,Kleine Tasche,bag
161,6089459780530060482,Abro * Leder * taupe,Kroko,bag
162,6054551311984114121,"Kulturbeutel ""Ananas""","Kulturbeutel ""Ananas""",bag
163,-472860830325465736,Louis Vuitton,Spezial Ausgabe von Louis Vuitton,bag
164,2212297421384766750,Wildlederhandtasche von Bally,"Sportlich, elegant und zeitlos",bag
165,1309405089636374508,Desigual Tasche,Desigual,bag
166,-9039348800056188697,Original LONGCHAMP Damentasche Marine,LONGCHAMP Damentasche Marine,bag
167,-8727592746311690061,Einkaufstasche,bunte Shopper,bag
168,2079580528960600013,Bugatti Aktentasche,In sehr gutem Zustand,bag
169,-2696877955312356686,Tasche Michael Kors wie neu,fast ungetragen,bag
170,-9053573774164132339,Lit NAMUR acacia massif dessable 160 cm,Die Holzfarbe kann im Showroom Zofingen besichtigt werden,bed
171,6581925678292674527,Boxspring KAPSTADT 140 x 200 cm,Boxspringbett kann im Showroom in Zofingen getestet werden,bed
172,-279366324685406044,Cadre de lit Bois d'acacia massif 180 x,Bettgestell Massives Akazienholz 180 x 200 cm,bed
173,-2627313447498654243,Lit massif chêne noueux naturel 180 cm,Farb -Holzmuster können in 4800 Zofingen besichtigt werden,bed
174,-4268842674635419103,Rutschbett Hochbett mit Rutsche,"Spielbett BENNY weiß mit Rutsche Turm, Vorhang, PRINZESSIN",bed
175,2107722095144131320,Sommier à lattes Hasena 90/200 cm,Sommier d'occasion en parfait état.,bed
176,3891547370760312571,Kinderbett - 144x76x57cm - Neu!,Für einen erholsamen Schlaf - von Happytoys - Gratis Versand,bed
177,-2660195816900667266,"Lattenroste 2x 100x200cm, auch einzeln",2 Lattenroste 100x200 cm,bed
178,5712997992732795141,"Hasena Holzbett inkl. Lattenrost, 190x90","Kopfteil höhenverstellbar, aus lakiertem Holz mit Astlöcher",bed
179,-7217944404844324112,Babybett höhenverstellbar,Inkl. Allem,bed
180,-909601779477628813,Bett 120x200 cm,Bett 120x200 cm ohne Inhalt,bed
181,-4019294061611331801,selbstgemachtes Palettenbett 200x140,mit Lattenrost und nach Wunsch mit Nachttischli,bed
182,1240917841133127532,Kinderbett,Lattenrost und Bettgestell,bed
183,-4681419162167624787,Kinderbett,hochwertiges Kinderbett welches mit dem Kind mitwächst,bed
184,5238873066642179016,"Bettgestell Campino 120x200cm, Kernbuche",Gratis Versand!,bed
185,5613496236378563636,Bett mit Matratze zur Verfügung,Gut erhalten mit Matratze,bed
186,-7591216664106067138,Tagesbett Einzelbett Bett,Metallbett 90 x 200 cm schwarz,bed
187,-5277165153138181259,Hochbett,Hochbett 140×200,bed
188,1799854571824848545,Bettgestell Ikea Mandal,"Fast wie neu, top Zustand",bed
189,7508371131430200965,Bettgestell mit Lattenrost,Sauber und ganz,bed
190,-2954151335739103802,"Etagenbett, Stockbett massiv Metall","Rost unten 140 * 200, oben 90 * 200",bed
191,-1730489494924170491,Baby-/Kinderbett und Wickelkommode,Mit Verzierung Mond und Sterne,bed
192,74269306716799943,Bicoflex Lattenrost 90x190cm,nur wenig gebraucht als Gästebett für Kinder,bed
193,8603824400473919774,Boxspring Claudio 160 x 200 cm,Boxspringbett kann im Showroom in Zofingen getestet werden,bed
194,-2618432784971941054,Doppelbett mit Rückwand und Schublade,mit Brett statt Lattenrost,bed
195,6577269991247109729,Weißes hochglanz Kunstlederbett mit Memo,vidaXL Weißes hochglanz Kunstlederbett mit Memory Foam,bed
196,3739125086037841834,Bettgestell Tiefschlaf Stadtnomaden,Stappelbares Bettgestell 160cm x 200cm,bed
197,678463701983699158,Boxspring KAPSTADT 160 x 200 cm,Boxspringbett kann im Showroom in Zofingen getestet werden,bed
198,848141978084510379,"Eichenholz Einzel Bett 200/90, wie neu",Ohne Matraze,bed
199,809906687701626486,Hochbett,Hochbett,bed
200,5224636030586899430,Bico-Bett: ab CHF 1.-,Rost und Rahmen in einem,bed
201,1579239275785934721,Lit avec rideaux en chene des marais,ist im Showroom Zofingen ausgestellt,bed
202,-1053510174841415533,Massivbett Da Silva Pinie weiss gekalkt,Bett ist im Showroom Zofingen ausgestellt.,bed
203,7927393434219213788,Massivbett Pinie weiss 180 x 200cm,Bett ist im Showroom Zofingen ausgestellt.,bed
204,5406310695253049555,Bettrost Maxiflex 2 St. f. 90er Matratze,Bett Lattenrost 2 St. LxB 198X88 cm 90er Matratzen Maxiflex,bed
205,-1001491558928918990,Boxspring PERSIA 160 x 200 cm,Boxspringbett kann im Showroom in Zofingen getestet werden,bed
206,-3478256242291738811,Luxus-Bettgestell Ecco2 4-motorig 210cm,mit Fernbedienung Infrarot - jede Latte individ. einstellbar,bed
207,4065286768597472932,Gästebett,Gästebett mit Lattenrost,bed
208,-5281083339514278246,Massivbett COVA Wildeiche Natur 180x200,Farb -Holzmuster können in 4800 Zofingen besichtigt werden,bed
209,3854361345236180498,Kinderbett,Reisebett,bed
210,4884946974402358826,Boxspring Bett Canto 200 x 200 cm,Boxspringbett kann im Showroom in Zofingen getestet werden,bed
211,9060788708774820105,"Bett 190x200, mit Inhalt",mit 2 Lattenroste und 1 Matraze 180x200,bed
212,-7813306207371864126,Boxspring Bett schloss Atelier,Mit oder ohne Matratze  Original wert 8000.-,bed
213,1950365434990505556,"Lit en pin nordique, lit simple",Bett KÖLN Kiefer massiv Buche lackiert 100x200cm,bed
214,-4467646681253779555,Cilek Bett Flora XL,BESTE QUALITÄT! 5 JAHRE Herstellergarantie! TÜV,bed
215,3980371352860215321,Lit avec rideaux en chene des marais,ist im Showroom Zofingen ausgestellt,bed
216,2172258397827975985,Kunstlederbett schwarz 180 x 200 cm,Kunstlederbett schwarz 180 x 200 cm,bed
217,1376452186282543144,Schwarzes Metallbettgestell,Nur Gestell,bed
218,-2023246326317198339,JENNY-Polsterbett im Barock-Stil 180x200,Textilleder Creme mit Lattenrost und Bettkasten,bed
219,-8905552020395210844,Massivbett Wildeiche CADRO 160 x 200 cm,Holz Farbmuster können in 4800 Zofingen besichtigt werden,bed
220,-8942688332782230422,Aufklappbare Hundetransportbox,Lieferung sofort und vertrauensvoll auf Rechnung.,box
221,-8573058890680971226,Cage de transport pour chien gris L,Hundetransportbox aus Aluminium,box
222,2116129269527593331,"Hunde,Katzenkorb mit Inhalt",In sehr gutem Zustand,box
223,-2544789577739868157,Hundespielzeug Plüschtier Hirsch,Hunde haustier katze spielzeug futter ball leine box knochen,box
224,7146209437290599919,Metall Hundekäfig Hundebox Transportbox,Metall Hundekäfig Hundebox Transportbox Drahtkäfig faltbar X,box
225,-2526185625936168950,Tudor Box Watch Display,Expositore 8 places,box
226,1811895650423979459,Metall Hundekäfig Hundebox Transportbox,Metall Hundekäfig Hundebox Transportbox Drahtkäfig faltbar L,box
227,6500686988671109915,Cage de transport pour chien double brun,Hundetransportbox aus Aluminium,box
228,2408895228032519344,Hundebox Transportbox faltbar Grösse S,Faltbare Hunde Box Hundetransportbox– Blitzversand!,box
229,-8789740995701308928,"Hundetransportbox S zweitürig 89 x 68,5","vidaXL Hundetransportbox S zweitürig 89 x 68,5 50 cm Alu/MDF",box
230,-735875788279134054,Hunde-Doppelbox,Schmidt Hundebox,box
231,338599801330733325,Cage de transport pour chien incliné gri,Hundetransportbox aus Alu,box
232,-5091600192984297513,Doppelhundebox geneigte Rückseite braun,Cage de transport pour chien incliné double brun,box
233,2440738843214697240,Trixie Hundetransportbox Grösse M,Hundetransportbox,box
234,5244491645225905533,Transportcase Musik/DJ YamahaStagepas300,Neuwertiges Transportcase für Instrumente / Equipment / PA,box
235,1834553070635803414,"VARI-KENNEL Gr. 4, Hundebox",91 x 64 x 69 cm (LxBxH) in guten und brauchbaren Zustand,box
236,7785979431713720917,4pets Hunde Transportbox ProLine Falcon,Hundebox,box
237,999112363649745288,Hundebox Transportbox Hundetransportbox,"Hochwertige, faltbare Hundebox Grösse XXXL",box
238,5099940297859246974,Zu Verkaufen Hunde Flugbox,Flugbox für grössere Hunde,box
239,-2531034039132007823,Hundebox Hundetransportbox Alubox,"Hundebox Hund Transportbox Alubox Box 65 x 90 x 69,5 cm",box
240,-3494974667365365040,Metall Hundekäfig Hundebox Transportbox,vidaXL Metall Hundekäfig Hundebox Transportbox Drahtkäfig,box
241,2526164710888710944,Hundetransportbox Hundebox Hunde Alubox,Günstige Auto Hunde Transportbox aus Aluminium,box
242,-4926407940535228105,Hunde Anhänger,Veloanhänger,box
243,7644898094106853727,Metall Hundekäfig Hundebox Transportbox,vidaXL Metall Hundekäfig Hundebox Transportbox Drahtkäfig,box
244,-1081707347464896595,"Pillendose, dreikammrig mit Eulen",Sehr guter Zustand,box
245,8282827277151171954,Hundetransportbox Hundebox Hunde Alubox,Günstige Auto Hunde Transportbox aus Aluminium,box
246,-3740528414080924220,Metall Hundekäfig Hundebox Transportbox,Metall Hundekäfig Hundebox Transportbox Drahtkäfig faltbar L,box
247,2659627409177108519,Schachtel aus Stein mit Fischen,Vintage 80er,box
248,4135159120107286234,Metall Hundekäfig Hundebox Transportbox,vidaXL Metall Hundekäfig Hundebox Transportbox Drahtkäfig,box
249,-4803085240990578062,Doppelhundebox geneigte Rückseite grau,Cage de transport pour chien incliné double gris,box
250,9047939762386783174,Auto-Sicherheitsgurt für Hunde,Karlie Sicherheitsgurt,box
251,-4609635554256361760,Tier Abdeckung für Autositze Rückbank,"Rücksitz Schutzdecke vor Tierhaaren, Nässe und Wasser",box
252,2351271527677124050,Hundetransportbox Hundebox Hunde Alubox,Günstige Auto Hunde Transportbox aus Aluminium,box
253,1205445372145774890,"Schuhkarton, 22x34x16 cm. 8 Stück",Wie neu,box
254,4237764788672839696,Metall Hundekäfig Hundebox Transportbox,vidaXL Metall Hundekäfig Hundebox Transportbox Drahtkäfig,box
255,-7170980847053685471,Doppelhundebox geneigte Rückseite braun,Cage de transport pour chien incliné double brun,box
256,-7030835832514204300,Hundetransportbox Hundebox Hunde Alubox,Günstige Auto Hunde Transportbox aus Aluminium,box
257,1656855349205089182,Kleintier Transport - Softbox,AniOne Wild Variety Transport Softbox,box
258,-7234186765568212141,Hundebox,Hundebox (Ferplast Autotransportbox),box
259,8508608649034657589,Hundebox,Breite 48cm / Höhe 51cm / Tiefe 68cm,box
260,-7082835170072876136,VW T6 2.0 TDI 4Motion,VW T6 2.0 TDI 4Motion,bus
261,-2498912618369269321,Renault Kangoo Kasten,Motor läuft Unruhig,bus
262,-5152333946169943953,VW T6 2.0 TDI Entry,VW T6 2.0 TDI Entry,bus
263,8365519820725874438,Fiat Ducato 1.9 D,Vieux camping car avec intérieur très soigné,bus
264,-2576557908534758092,VW T5 2.0 TDI,VW T5 2.0 TDI,bus
265,3613501235823719324,Fiat Talento 29 H1 EasyProPlus,Fiat Talento 29 H1 EasyProPlus,bus
